id,roll,name,description,value_cp,lucky_name,lucky_description,lucky_value_cp,tags
I0199,4,Кожаная рабочая рукавица,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Вмятины и ремни показывают, какую защиту предмет способен дать сейчас.",300,Кожаная рабочая рукавица — из личной оружейной палаты героя,Под поздними заплатами обнаружена работа оружейника исторического значения. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Знаток заплатит за такую редкость намного больше обычного.,16500,"armor,tier-4"
I0200,4,Круглая крышка для защиты от искр,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Кромка и крепления хранят следы ударов, которые принял прежний владелец.",234,Круглая крышка для защиты от искр — с гербом спасённого королевства,Геральдика и редкий сердечник превращают защиту в ценную реликвию. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Скрытая деталь делает находку одновременно полезной и коллекционной.,13104,"shield,tier-4"
I0201,4,Кухонный нож с деревянной ручкой,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Короткий клинок удобно осмотреть по заточке, гарде и следам ржавчины.",444,Кухонный нож с деревянной ручкой — из тайного набора придворного дуэлянта,Сталь скрывает безупречную закалку и происхождение из личного арсенала мастера. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Редкая особенность раскрывается только при внимательном осмотре.,22200,"dagger,tier-4"
I0202,4,Берёзовый учебный меч,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Длинный клинок оценивается по балансу, прямизне и состоянию ножен.",324,Берёзовый учебный меч — с подписью мастера легендарных клинков,После очистки открылись подпись оружейника и выдающийся узор закалки. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Даже неприметный вид не способен скрыть выдающееся качество.,16524,"sword,tier-4"
I0203,4,Топор для растопки,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Рабочая кромка и посадка топорища показывают характер прежней службы.",264,Топор для растопки — выкованное для наследника подгорного трона,"Редкий металл держит заточку, а клеймо связывает топор с прославленным походом. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",13728,"axe,tier-4"
I0204,4,Лук для стрельбы по соломенным мишеням,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Плечи, тетива и изгиб сохраняют память о множестве выстрелов.",165,Лук для стрельбы по соломенным мишеням — из тисовой рощи первого лучника,"Точная работа даёт исключительную плавность и принадлежит знаменитому стрелку. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. История владельца повышает цену не меньше, чем материалы.",8745,"bow,tier-4"
I0205,4,Дюжина оперённых учебных стрел,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Оперение и наконечник подсказывают назначение боеприпаса.",354,Дюжина оперённых учебных стрел — с наконечником из упавшей звезды,Редкая балансировка и особый наконечник делают единственный выстрел чрезвычайно ценным. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Работа мастера узнаваема и имеет подтверждённую ценность.,19116,"projectile,tier-4"
I0206,4,Ореховая прогулочная палка,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Следы ладоней и дорожные зарубки покрывают посох почти целиком.",288,Ореховая прогулочная палка — выросшее из ветви мирового древа,Внутри древесины обнаружена тонкая сердцевина с полезным необычным свойством. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Неожиданное свойство делает эту версию особенно желанной.,15840,"staff,tier-4"
I0207,4,Верёвочная уздечка для мула,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Ремни и пряжки подогнаны под конкретного зверя и долгую дорогу.",204,Верёвочная уздечка для мула — из церемониальной упряжи единорога,Материалы достойны королевской конюшни и необычно удобны для животного. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. На рынке редкостей за неё наверняка начнётся спор.,11424,"animal,tier-4"
I0208,4,"Бусина, прохладная на солнце","Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Едва заметная странность отличает вещицу от совершенно обычного хлама.",396,"Бусина, прохладная на солнце — с устойчивым малым чудом внутри","Малое чудо оказалось стабильным, полезным и работой известного чародея. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Подлинная метка превращает случайную находку в событие.",19800,"magic,tier-4"
I0209,4,Гоблинская кружка с мерной чертой,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Гоблинская практичность смешана здесь с самоуверенным украшательством.",300,Гоблинская кружка с мерной чертой — из трофейной кладовой великого вождя,"Вещь принадлежала знаменитому гоблинскому вождю и содержит хитрый секрет. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Состояние почти идеальное, а происхождение подтверждено.",15300,"goblin,tier-4"
I0210,4,Дварфский камень для правки ножей,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Дворфская манера видна по тяжести, рунам и упрямой прочности.",234,Дварфский камень для правки ножей — с рунами прародителя клана,"Руны называют древний клан, а качество достойно наследственной сокровищницы. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Знаток заплатит за такую редкость намного больше обычного.",12168,"dwarf,tier-4"
I0211,4,Эльфийская закладка из прессованного листа,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Эльфийская работа узнаётся по лёгким линиям и вниманию к мелочам.",444,Эльфийская закладка из прессованного листа — с подписью мастера Лунного Двора,Подлинная подпись мастера и редкий материал делают изделие музейным. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Скрытая деталь делает находку одновременно полезной и коллекционной.,23532,"elf,tier-4"
I0212,4,Кожаный ремень городского носильщика,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Человеческая вещь хранит понятные следы службы, ремонта и дороги.",324,Кожаный ремень городского носильщика — из багажа основателя столицы,"Монограмма связывает её с важным историческим лицом, а состояние удивительно хорошо. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Редкая особенность раскрывается только при внимательном осмотре.",17496,"human,tier-4"
I0213,4,Чехол для дорожных документов,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Каждая царапина отмечает новый участок долгого маршрута.",264,Чехол для дорожных документов — из комплекта Последней Экспедиции,Эта версия создавалась для великой экспедиции и продумана до последней застёжки. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Даже неприметный вид не способен скрыть выдающееся качество.,14520,"travel,tier-4"
I0214,4,Рыночная мерка для зерна,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Бирки и упаковка выдают товар, который когда-то ждал покупателя.",165,Рыночная мерка для зерна — из опечатанного товара Гильдии Чудес,Происхождение и редкость позволяют продать находку серьёзному коллекционеру. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.,9240,"merchant,tier-4"
I0215,4,Малярная кисть из свиной щетины,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Следы краски, глины или клея точно называют ремесло владельца.",354,Малярная кисть из свиной щетины — из наследия великого ремесленника,"Инструмент принадлежал признанному мастеру и сам по себе считается произведением искусства. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. История владельца повышает цену не меньше, чем материалы.",17700,"artisan,tier-4"
I0216,4,Медный дверной колокольчик,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Бытовая вещь честно показывает привычки и достаток прежнего дома.",288,Медный дверной колокольчик — из сервиза посольского дворца,Незаметная деталь выдаёт заказ для дворца и исключительное качество изготовления. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Работа мастера узнаваема и имеет подтверждённую ценность.,14688,"household,tier-4"
I0217,4,Ключ от сундука с бельём,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Форма бородки обещает замок, который, возможно, ещё существует.",204,Ключ от сундука с бельём — открывающее хранилище Тайного Совета,Знак на стержне указывает на особо важную дверь и дорогой секрет за ней. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Неожиданное свойство делает эту версию особенно желанной.,10608,"key,tier-4"
I0218,4,План деревенской оросительной канавы,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Линии маршрута, пятна и исправления оставлены разными путешественниками.",396,План деревенской оросительной канавы — с дорогой к сокровищнице на полях,Скрытый слой показывает неизвестный путь к месту большой ценности. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. На рынке редкостей за неё наверняка начнётся спор.,20988,"map,tier-4"
I0219,4,Полированный кусочек речной яшмы,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Свет на гранях помогает отличить камень, стекло и удачную подделку.",300,Полированный кусочек речной яшмы — огранённое слепым мастером провидцев,"После очистки проявились редкая чистота, огранка и подтверждённое происхождение. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Подлинная метка превращает случайную находку в событие.",16200,"gem,tier-4"
I0220,4,Коробочка с высушенными светляками,"Дешёвая бытовая вещь заметно послужила, но ещё не разваливается. Назначение странности неочевидно, но детали явно сложились не случайно.",234,Коробочка с высушенными светляками — из кабинета придворного исследователя,"Специалист распознает в ней редкость, смысл которой намного дороже внешнего вида. Обычная бытовая вещь оказалась выдающимся образцом своего скромного ремесла. Состояние почти идеальное, а происхождение подтверждено.",12870,"oddity,tier-4"
I0221,5,Бумажный колпак от дождя,"Простой расходник пригодится один раз, если не ждать от него чудес. Форма и следы носки сразу выдают историю головного убора.",650,Бумажный колпак от дождя — из гардероба лунной княгини,"Материал оказался редким, а внутренняя метка связывает вещь с известным владельцем. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Даже неприметный вид не способен скрыть выдающееся качество.",32500,"headwear,tier-5"
I0222,5,Запасные кожаные шнурки для сапог,"Простой расходник пригодится один раз, если не ждать от него чудес. Подошва, застёжки и размер делают эту обувь вполне узнаваемой находкой.",507,Запасные кожаные шнурки для сапог — с парной печатью королевского сапожника,"Под неприметным верхом скрылись работа прославленного сапожника и дорогая подкладка. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",25857,"footwear,tier-5"
I0223,5,Пара тёплых шерстяных носков,"Простой расходник пригодится один раз, если не ждать от него чудес. Ткань сохранила запах дороги, мастерской или прежнего хозяина.",962,Пара тёплых шерстяных носков — из дорожного сундука архимага,"Швы выполнены драгоценной нитью, а покрой имеет коллекционное происхождение. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. История владельца повышает цену не меньше, чем материалы.",50024,"clothes,tier-5"
I0224,5,Складная походная ложка,"Простой расходник пригодится один раз, если не ждать от него чудес. На поверхности остались царапины от долгого и не всегда бережного использования.",702,Складная походная ложка — с клеймом коронационного мастера,"Клеймо мастера подтверждает редкий сплав и важную историю этой утвари. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Работа мастера узнаваема и имеет подтверждённую ценность.",37206,"utensil,tier-5"
I0225,5,Медный котелок на один ужин,"Простой расходник пригодится один раз, если не ждать от него чудес. Копоть и вмятины рассказывают о множестве походных ужинов.",572,Медный котелок на один ужин — из кухни исчезнувшей династии,"Под слоем нагара обнаружилась безупречная работа знаменитой дворцовой кухни. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Неожиданное свойство делает эту версию особенно желанной.",30888,"cookware,tier-5"
I0226,5,"Паёк из лепёшки, сыра и орехов","Простой расходник пригодится один раз, если не ждать от него чудес. Запах, корочка и упаковка позволяют оценить свежесть без рискованной дегустации.",357,"Паёк из лепёшки, сыра и орехов — по рецепту небесного кондитера","Редкий рецепт и идеально сохранившиеся ингредиенты превращают еду в дорогой деликатес. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. На рынке редкостей за неё наверняка начнётся спор.",19635,"food,tier-5"
I0227,5,Фляга разбавленного ягодного морса,"Простой расходник пригодится один раз, если не ждать от него чудес. Содержимое тихо плещется и пахнет ровно так, как обещает его вид.",767,Фляга разбавленного ягодного морса — из последней бочки императорского погреба,"Печать на сосуде указывает на исключительную выдержку и знаменитую партию. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Подлинная метка превращает случайную находку в событие.",42952,"drink,tier-5"
I0228,5,Костяные игральные фишки,"Простой расходник пригодится один раз, если не ждать от него чудес. На кости заметны насечки, следы зубов или попытка придать ей смысл.",624,Костяные игральные фишки — с летописью древнего чудовища,"Знаки оказались исторической записью, а сама кость принадлежала необычному существу. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Состояние почти идеальное, а происхождение подтверждено.",31200,"bones,tier-5"
I0229,5,Малый молоток для палаточных колышков,"Простой расходник пригодится один раз, если не ждать от него чудес. Баланс рукояти показывает, годится ли находка для настоящей работы.",442,Малый молоток для палаточных колышков — работы кузнеца Семи Башен,"Скрытое клеймо подтверждает происхождение из мастерской великого кузнеца. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Знаток заплатит за такую редкость намного больше обычного.",22542,"hammer,tier-5"
I0230,5,Набор игл с мотком льняной нити,"Простой расходник пригодится один раз, если не ждать от него чудес. Тонкий инструмент пережил владельца и сохранил следы его ремесла.",858,Набор игл с мотком льняной нити — из набора швеи при дворе фей,"Игла сделана из необычного металла и выполняет тонкую работу почти без усилий. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Скрытая деталь делает находку одновременно полезной и коллекционной.",44616,"needle,tier-5"
I0231,5,Десять метров конопляного шнура,"Простой расходник пригодится один раз, если не ждать от него чудес. Волокна, узлы и влажность честно показывают остаток прочности.",650,Десять метров конопляного шнура — сплетённая хранителями маяка,"Плетение не боится огня и воды, хотя с виду верёвка остаётся совершенно обычной. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Редкая особенность раскрывается только при внимательном осмотре.",34450,"rope,tier-5"
I0232,5,Промасленный мешочек для трута,"Простой расходник пригодится один раз, если не ждать от него чудес. Внутри сохранился запах прежнего содержимого и немного дорожной пыли.",507,Промасленный мешочек для трута — с тайным отделением королевского курьера,"Потайной шов открыл ценную работу и надёжное внутреннее отделение. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Даже неприметный вид не способен скрыть выдающееся качество.",27378,"container,tier-5"
I0233,5,Угольный карандаш в кожаном футляре,"Простой расходник пригодится один раз, если не ждать от него чудес. Пятна чернил и состояние наконечника говорят о последнем писавшем.",962,Угольный карандаш в кожаном футляре — принадлежавшее великому летописцу,"Инструмент узнаёт руку владельца и оставляет особенно стойкие, красивые линии. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",52910,"writing,tier-5"
I0234,5,Карманный справочник съедобных кореньев,"Простой расходник пригодится один раз, если не ждать от него чудес. Переплёт, поля и закладки выдают, насколько часто текстом пользовались.",702,Карманный справочник съедобных кореньев — с авторскими пометами первого издания,"Между страницами обнаружены авторские пометы, резко повышающие ценность тома. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. История владельца повышает цену не меньше, чем материалы.",39312,"book,tier-5"
I0235,5,Пачка чистых почтовых листов,"Простой расходник пригодится один раз, если не ждать от него чудес. Печати и подписи можно изучить, хотя назначение бумаги не всегда радует.",572,Пачка чистых почтовых листов — скреплённое печатью забытого престола,"Подлинность подтверждена редкой печатью, а содержание имеет историческую цену. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Работа мастера узнаваема и имеет подтверждённую ценность.",28600,"document,tier-5"
I0236,5,Рулон медных торговых жетонов,"Простой расходник пригодится один раз, если не ждать от него чудес. Находка связана с мелкой торговлей и хранит следы множества рук.",357,Рулон медных торговых жетонов — из закрытой коллекции монетного двора,"Незаметная отметка превращает торговую мелочь в редкий нумизматический объект. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Неожиданное свойство делает эту версию особенно желанной.",18207,"trade,tier-5"
I0237,5,Пара недорогих стеклянных серёг,"Простой расходник пригодится один раз, если не ждать от него чудес. Даже при беглом осмотре видны качество оправы и состояние металла.",767,Пара недорогих стеклянных серёг — из сокровищницы звёздного ювелира,"Камни и металл подтвердили происхождение из известной ювелирной школы. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. На рынке редкостей за неё наверняка начнётся спор.",39884,"jewelry,tier-5"
I0238,5,Набор цветных мелков для детей,"Простой расходник пригодится один раз, если не ждать от него чудес. Игрушка пережила шумные игры и несколько неумелых починок.",624,Набор цветных мелков для детей — первой серии великого игрушечника,"Это ранняя работа знаменитого мастера, сохранившая редкий механизм. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Подлинная метка превращает случайную находку в событие.",33072,"toy,tier-5"
I0239,5,Пучок храмовых благовоний,"Простой расходник пригодится один раз, если не ждать от него чудес. Символы нанесены старательно, хотя их смысл понятен не каждому жрецу.",442,Пучок храмовых благовоний — признанная храмовой реликвией,"Реликвия признана храмом и несёт след подлинного благословения. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Состояние почти идеальное, а происхождение подтверждено.",23868,"religion,tier-5"
I0240,5,Тростниковая свирель с чехлом,"Простой расходник пригодится один раз, если не ждать от него чудес. Звук зависит от состояния дерева, металла и терпения исполнителя.",858,Тростниковая свирель с чехлом — из личного оркестра серебряного дракона,"Редкий тембр и подпись мастера делают инструмент желанным для коллекционера. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Знаток заплатит за такую редкость намного больше обычного.",47190,"music,tier-5"
I0241,5,Три силка для мелкой дичи,"Простой расходник пригодится один раз, если не ждать от него чудес. Потёртости показывают, на какую добычу и как часто с вещью ходили.",650,Три силка для мелкой дичи — из арсенала королевского ловчего,"Точная подгонка и необычный материал заметно улучшают охотничьи свойства. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Скрытая деталь делает находку одновременно полезной и коллекционной.",36400,"hunting,tier-5"
I0242,5,Коробка рыболовных крючков,"Простой расходник пригодится один раз, если не ждать от него чудес. Соль, леска и чешуя оставили на снасти честную биографию.",507,Коробка рыболовных крючков — снасть легендарного речного следопыта,"Снасть принадлежала знаменитому ловцу и безошибочно чувствует крупную добычу. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Редкая особенность раскрывается только при внимательном осмотре.",25350,"fishing,tier-5"
I0243,5,Небольшой моток ремонтной парусины,"Простой расходник пригодится один раз, если не ждать от него чудес. Запах смолы и соли выдаёт долгую службу рядом с водой.",962,Небольшой моток ремонтной парусины — с флагмана пропавшей экспедиции,"Корабельная метка связывает находку с легендарным плаванием. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Даже неприметный вид не способен скрыть выдающееся качество.",49062,"nautical,tier-5"
I0244,5,Точильный брусок для косы,"Простой расходник пригодится один раз, если не ждать от него чудес. Земля в щелях и затёртая рукоять говорят о привычной работе.",702,Точильный брусок для косы — награда победителю Праздника Урожая,"Инструмент идеально сбалансирован и когда-то был наградой лучшему земледельцу. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",36504,"farming,tier-5"
I0245,5,Две свечи для шахтёрского фонаря,"Простой расходник пригодится один раз, если не ждать от него чудес. Каменная пыль забилась в каждую выемку этой шахтёрской вещи.",572,Две свечи для шахтёрского фонаря — настроенное на жилу звёздного серебра,"Находка откликается на ценные жилы едва заметным теплом. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. История владельца повышает цену не меньше, чем материалы.",30316,"mining,tier-5"
I0246,5,Пакет деревянных клиньев,"Простой расходник пригодится один раз, если не ждать от него чудес. Смола и тонкая стружка сохранились возле рабочих кромок.",357,Пакет деревянных клиньев — из мастерской говорящего дерева,"Работа принадлежит именитому резчику и удивительно бережно обращается с деревом. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Работа мастера узнаваема и имеет подтверждённую ценность.",19278,"woodcraft,tier-5"
I0247,5,Кусок кузнечного флюса,"Простой расходник пригодится один раз, если не ждать от него чудес. Окалина и следы жара не оставляют сомнений в кузнечном прошлом.",767,Кусок кузнечного флюса — закалённое в огне Великой Кузни,"Сплав и закалка соответствуют утраченной технике большой мастерской. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Неожиданное свойство делает эту версию особенно желанной.",42185,"smithing,tier-5"
I0248,5,Восковой слепок простого замка,"Простой расходник пригодится один раз, если не ждать от него чудес. Размер и гибкость намекают на задачи, о которых не пишут в накладных.",624,Восковой слепок простого замка — из комплекта королевской разведки,"Набор создан для королевского разведчика и почти не оставляет следов применения. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. На рынке редкостей за неё наверняка начнётся спор.",34944,"thieves,tier-5"
I0249,5,Порция средства для очистки меди,"Простой расходник пригодится один раз, если не ждать от него чудес. Осадок и цвет позволяют строить догадки, но не советуют пробовать содержимое.",442,Порция средства для очистки меди — из лаборатории первого трансмутатора,"Состав сохранил чистоту и относится к редкой работе признанного алхимика. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Подлинная метка превращает случайную находку в событие.",22100,"alchemy,tier-5"
I0250,5,Пакет перевязочной ткани,"Простой расходник пригодится один раз, если не ждать от него чудес. Запах трав и аккуратность упаковки показывают уровень прежнего лекаря.",858,Пакет перевязочной ткани — из сумки святого полевого лекаря,"Внутри обнаружены дорогие средства полевого хирурга и безупречные инструменты. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Состояние почти идеальное, а происхождение подтверждено.",43758,"medicine,tier-5"
I0251,5,Сухая растопка в берестяном коробе,"Простой расходник пригодится один раз, если не ждать от него чудес. Пыль дорог и следы дождя видны сильнее любой торговой марки.",650,Сухая растопка в берестяном коробе — из снаряжения похода за край карты,"Снаряжение необычно лёгкое, прочное и рассчитано на самые тяжёлые переходы. Даже расходник может стать сокровищем, когда его происхождение настолько необычно. Знаток заплатит за такую редкость намного больше обычного.",33800,"camping,tier-5"
